source,target,tgt_lng
"Categorical Data","分类数据","zh"
"Categorization Algorithms","分类算法","zh"
"ChemDataExtractor","化学数据提取器","zh"
"Chi-Squared","卡方（分布）","zh"
"Classification Model","分类模型","zh"
"Cluster Resolution Feature Selection","聚类分辨率特征选择","zh"
"Cluster-Based Splitting","基于聚类的分离方法","zh"
"Clustering Methods","聚类方法","zh"
"Code Pipeline","代码流水线","zh"
"Coefficient of Determination","决定系数","zh"
"Combined Gradient","组合梯度（算法）","zh"
"Complex Data","复合数据","zh"
"Computational Cost","计算成本","zh"
"Computational Optimisation","计算优化","zh"
"Computational Science","计算科学","zh"
"Computational Toxicology","计算毒理学","zh"
"Computer Science","计算机科学","zh"
"Computer Simulations","计算机模拟","zh"
"Computer-Aided","计算机辅助","zh"
"Constraint","约束","zh"
"Core-Loss Spectrum","（电子能量损失谱中的）高能区域","zh"
"Coulomb Matrix","库仑矩阵","zh"
"Coupled-Cluster Predictions","耦合簇预测","zh"
"Cross-Validated Coefficient of Determination","交叉验证的决定系数","zh"
"Cross-Validation","交叉验证","zh"
"Crowd-Sourcing","众包","zh"
"Cut-Points","切点","zh"
"Cutoff Radial Function","截断径向函数","zh"
"Data Availability","数据可用性","zh"
"Data Cleaning","数据清洗","zh"
"Data Collection","数据采集","zh"
"Data Considerations","数据注意事项","zh"
"Data Curation","数据监管","zh"
"Data Disparity","数据差异","zh"
"Data Dredging","数据挖掘","zh"
"Data Imputation","数据填补","zh"
"Data Labels","数据标签","zh"
"Data Leakage","数据泄露","zh"
"Data Pre-Processing","数据预处理","zh"
"Data Processing","数据处理","zh"
"Data Quality","数据质量","zh"
"Data Reduction","数据缩减","zh"
"Data Representation","数据表示","zh"
"Data Selection","数据选择","zh"
"Data Sources","数据源","zh"
"Data Splitting","数据拆分","zh"
"Data Transformation","数据转换","zh"
"Data-Driven","数据驱动","zh"
"Data-Driven Decision-Making","数据驱动的决策","zh"
"Data-Driven Methods","数据驱动的方法","zh"
"Data-Driven Spectral Analysis","数据驱动的光谱分析","zh"
"Data-Mining","数据挖掘","zh"
"Database","数据库","zh"
"DE Algorithm","差分进化算法","zh"
"Deeplift","DeepLift模型","zh"
"Dendrogram","树状图","zh"
"Density Functional Theory","密度泛函理论","zh"
"Density-Based Spatial Clustering Of Applications With Noise","DBSCAN密度聚类","zh"
"Descriptor","描述符","zh"
"DFT Calculations","DFT计算","zh"
"Dice Similarity","戴斯相似度","zh"
"Differential Evolution","差分进化","zh"
"Dimensionality Reduction","降维","zh"
"Direct Neural Network Modeling","正向神经网络建模","zh"
"Discrete Manner","离散方式","zh"
"Discrete Quanta","离散量子","zh"
"Discretization","离散化","zh"
"Distillation","蒸馏","zh"
"Dynamic Datasets","动态数据集","zh"
"Dynamic Filter Networks","动态过滤网络","zh"
"Dynamic Sampling","动态采样","zh"
"Dynamics Simulations","动力学模拟","zh"
"Eigenfunction","特征函数","zh"
"Electronegativity","电负性","zh"
"Elman","埃尔曼","zh"
"Empirical Models","经验模型","zh"
"Energy Derivatives","能源衍生品","zh"
"Energy Potentials","能量潜力","zh"
"Ensemble Methods","集成方法","zh"
"Entity Normalisation","实体规范化","zh"
"Ethical Considerations","道德考虑","zh"
"Euclidean Distances","欧几里得距离","zh"
"Evolutionary Algorithms","进化算法","zh"
"Evolutionary Method","进化方法","zh"
"Exchange–Correlation","交换关联（的能量","zh"
"Excited-State Potentials","激发态能量","zh"
"Expected Reduction In Distortion","符合预期的失真减少","zh"
"Experimental Validation Data","实验验证数据","zh"
"Expert Systems","专家系统","zh"
"Extended-Connectivity Circular Fingerprint","扩展连接环形指纹","zh"
"Extraction Techniques","提取技术","zh"
"Faber-Christensen-Huang-Lilienfeld","Faber-Christensen-Huang-Lilienfeld","zh"
"Facial Recognition","面部识别","zh"
"FAIR Data Principles","FAIR数据原则","zh"
"False Negatives","假阴性","zh"
"False Positives","假阳性","zh"
"Fchl Representation","Fchl 表示","zh"
"Feature Binarization","特征二值化","zh"
"Feature Transform","特征变换","zh"
"Feature Vectors","特征向量","zh"
"Features","特征","zh"
"Feed Back","反馈","zh"
"Feed-Forward Neural Networks","前馈神经网络","zh"
"Feedback Structure","反馈结构","zh"
"Final Evaluation","最终评估","zh"
"Findable, Accessible, Interoperable, Reusable","可查找、可访问、可互操作、可重用","zh"
"First-Principles","第一性原理","zh"
"Flow Rate","流速","zh"
"Forward Cross-Validation","前向交叉验证","zh"
"Forward Prediction","前向预测","zh"
"Forward Reaction Prediction","前向反应预测","zh"
"Fuzzy Logic","模糊逻辑","zh"
"Fuzzy Neural Networks","模糊神经网络","zh"
"Ga-Based Approaches","基于遗传算法的方法","zh"
"Garbage In, Garbage Out","无用数据入、无用数据出","zh"
"Gas-Phase Networks","气相网络","zh"
"Gaussian Kernels","高斯核","zh"
"Gaussian-Type Structure Descriptors","高斯型结构描述符","zh"
"General Intelligence","通用智能","zh"
"Generalized Gradient Approximation","广义梯度近似","zh"
"Generative Adversarial Networks","生成对抗网络","zh"
"Gradient Boosting Decision Tree","梯度提升决策树","zh"
"Gradient-Based","基于梯度的","zh"
"Grain-Surface Networks","粒面网络","zh"
"Graph Convolutional","图卷积","zh"
"Graph Models","图模型","zh"
"Graph Neural Networks","图神经网络","zh"
"Graph-Based","基于图形","zh"
"Graph-Based Models","基于图的模型","zh"
"Graph-Based Neural Networks","基于图的神经网络","zh"
"Graph-Based Representation","基于图的表示","zh"
"Graph-Convolutional Neural Network","图卷积神经网络","zh"
"Graphics Processing Units","图形处理器","zh"
"Gravimetric Polymerization Degree","比重聚合度","zh"
"Hamiltonian Matrix","哈密顿矩阵","zh"
"Hamiltonian Operator","哈密顿算符","zh"
"Heterogeneous Data","异构数据","zh"
"Hidden Layers","隐藏层","zh"
"High Data Throughput","高数据吞吐量","zh"
"High Throughput","高通量","zh"
"High Throughput Screening","高通量筛选","zh"
"High Variance Models","高方差模型","zh"
"High-Dimensional Data","高维数据","zh"
"High-Dimensional NN","高维神经网络","zh"
"High-Dimensional Objects","高维对象","zh"
"High-Throughput","高通量","zh"
"Higher-Dimensional Space","高维空间","zh"
"Higher-Dimensional Spectral Space","高维光谱空间","zh"
"Homogenization","同质化","zh"
"Homomorphic Encryption","同态加密","zh"
"Human Face Recognition","人脸识别","zh"
"Human-Encoded","人工编码的","zh"
"Hybrid Model","混合模型","zh"
"Hybrid Technique","混合技术","zh"
"Hybrid-Neural Model","混合神经模型","zh"
"Hyperparameter Opimization","超参数优化","zh"
"Hyperparameters","超参数","zh"
"Hyperplanes Separate","超平面分离","zh"
"Id3 Algorithm","Id3 算法","zh"
"Image And Speech Recognition","图像和语音识别","zh"
"Image Classification","图像分类","zh"
"Image Classifier","图像分类器","zh"
"Image Recognition","图像识别","zh"
"Informative Priors","信息先验","zh"
"Input-Output Pairs","输入输出对","zh"
"Instance-Based","基于实例的","zh"
"Intelligent Machine","智能机器","zh"
"Intermediate Neurons","中间神经元","zh"
"Internet Of Things","物联网","zh"
"Interpolation Coordinate","插值坐标","zh"
"Interpretability","可解释性","zh"
"Inverse Neural Modeling","逆神经建模","zh"
"Inverse Neural Network Modeling","逆神经网络建模","zh"
"Iterative Learning","迭代学习","zh"
"Joint Distribution","联合分布","zh"
"Jordan-Elman Neural Networks","Jordan-Elman 神经网络","zh"
"K Clusters","K聚类","zh"
"K Nearest Points","K 最近点","zh"
"K-1 Folds","K-1 折","zh"
"K-Edge (O-K Edge)","K-边缘（O-K 边缘）","zh"
"K-Means","K-均值","zh"
"Kendall’S Tau","肯德尔等级相关系数","zh"
"Kernel Ridge Regression","核岭回归","zh"
"Kernels","内核","zh"
"Kinetic Curve","动力学曲线","zh"
"KNN Model","K 近邻模型","zh"
"Knowledge Extraction","知识提取","zh"
"Knowledge Gradient","知识梯度","zh"
"L1 And L2 Regularization","L1与L2正则化","zh"
"Laboratory Level","实验室级别","zh"
"Language Processing","语言处理","zh"
"Laplacian Prior","拉普拉斯先验","zh"
"Large-Scale Data Storage","大规模数据存储","zh"
"Lasers","激光器","zh"
"Lasso Regression","拉索回归","zh"
"LBP","局部二值模式","zh"
"Least Absolute Shrinkage And Selection Operator","Lasso回归","zh"
"Least Square Support Vector Machine","最小二乘支持向量机","zh"
"Ligand-Field","配位场","zh"
"Linear","线性的","zh"
"Linear Dimension Reduction Methods","线性降维方法","zh"
"Linear Vibronic Coupling Model","线性振子耦合模型","zh"
"Local Recurrent","本地卷积","zh"
"Logic And Heuristics Applied To Synthetic Analysis","LHASA 程序","zh"
"Long-Range Prediction","长期预测","zh"
"Long-Range Prediction Models","长期预测模型","zh"
"Long-Term Planning","长期规划","zh"
"Long-Term Reward","长期回报","zh"
"Machine-Readable Data","机器可读的数据","zh"
"Mae","平均绝对误差","zh"
"Mahalanobis Distances","马氏距离","zh"
"Matrices","矩阵","zh"
"Matthews Correlation Coefficient","马修斯相关系数","zh"
"Maximum Likelihood Methods","最大似然法","zh"
"Maximum Likelihood Procedures","最大似然估计法","zh"
"MCTS Method","蒙特卡洛树搜索方法","zh"
"Mean-Squared Error","均方误差","zh"
"Mechanical Sympathy","机械同感，软硬件协同编程","zh"
"Merging","合并","zh"
"Message Passing Neural Networks","消息传递神经网络","zh"
"Microarray Data","微阵列数据","zh"
"Mini Batch","小批次","zh"
"Mining","挖掘","zh"
"Mining Out","挖掘","zh"
"Missing Values","缺失值","zh"
"ML Algorithm","机器学习算法","zh"
"ML Modelling","机器学习建模","zh"
"ML Potentials","机器学习势能","zh"
"ML-Driven","机器学习驱动的","zh"
"ML-Driven Optimization","机器学习驱动的最优化","zh"
"MLP Neural Model","多层感知机神经模型","zh"
"Model Construction","模型构建","zh"
"Model Evaluation","模型评估","zh"
"Model Performance","模型性能","zh"
"Model Statistics","模型统计","zh"
"Model Training","模型训练","zh"
"Model Validation","模型验证","zh"
"Model-Based Iterative Reconstruction","基于模型的迭代重建","zh"
"Model-Construction","模型构建","zh"
"Modelling Scenario","建模场景","zh"
"Molecular Graph Theory","分子图论","zh"
"Molecular Modelling","分子建模","zh"
"Monte Carlo Tree Search","蒙特卡洛树搜索","zh"
"Moore’S Law","摩尔定律","zh"
"ms-QSBER-EL Model","基于人工神经网络组合的结构生物学效应定量关系多尺度模型","zh"
"Multi-Agent Control System","多智能体控制系统","zh"
"Multi-Core Desktop Computer","多核台式计算机","zh"
"Multi-Dimensional Big Data Analysis","多维度大数据分析","zh"
"Multi-Layer Feed-Forward","多层前馈","zh"
"Multi-Objective Genetic Algorithm","多目标遗传算法","zh"
"Multi-Objective Optimization","多目标优化","zh"
"Multi-Reaction Synthesis","多反应合成","zh"
"Multilayer Perceptron","多层感知机","zh"
"Multivariate Regression","多变量回归","zh"
"N-Dimensional Space","N维空间","zh"
"Naive Bayesian","朴素贝叶斯","zh"
"Naive Bayesian Methods","朴素贝叶斯方法","zh"
"Named Entity Recognition，NER","命名实体识别","zh"
"Nearest Neighbors","近邻","zh"
"Nearest Neighbour Model","近邻模型","zh"
"Negative Predictive Value","阴性预测值","zh"
"Network Architecture","网络结构","zh"
"Network Geometry","网络几何","zh"
"Neural Turing Machines","神经图灵机","zh"
"Neural-Network-Based Function","基于神经网络的函数","zh"
"Neurons","神经元","zh"
"Nuclear Magnetic Resonance","核磁共振","zh"
"Noise Filters","噪声过滤器","zh"
"Noise-Free","无噪的","zh"
"Non-Linear","非线性","zh"
"Non-Linear Correlation","非线性相关","zh"
"Non-Linearity","非线性","zh"
"Non-Parametric Algorithm","非参数化学习算法","zh"
"Non-Safety-Critical Applications","非安全关键型应用","zh"
"Non-Steady-State","非稳态","zh"
"Non-Stochastic","非随机的","zh"
"Non-Template","非模板","zh"
"Non-Template Methods","非模板方法","zh"
"Non-Zero Weight","非零权重","zh"
"On-The-Fly Optimization","运行中优化","zh"
"One-Hot Vector","独热向量","zh"
"Open-Source","开源","zh"
"Open-Source Dataset","开源数据集","zh"
"Predicted Label","预测值","zh"
"Prediction","预测","zh"
"Prediction Accuracy","预测准确率","zh"
"Predictor","预测器","zh"
"Protein Folding","蛋白折叠","zh"
"Quantum Chemistry","量子化学","zh"
"Quantum Theory","量子理论","zh"
"Random Selection","随机选择","zh"
"Raw Datasets","原始数据集","zh"
"Root Mean Square Errors","均方根","zh"
"Scaling","缩放","zh"
"Simulation","仿真","zh"
"The Global Minimum","全局最小值","zh"
"Turing Test","图灵测试","zh"
"Version Control","版本控制","zh"
"Workflow","工作流","zh"
"Sequence-Function","序列-功能","zh"
